"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Devils","N.J","14-15",82,3960.8,48.59,45.78,46.61,47.17,48.11,1.76,1.86,24.3,28.79,33.71,38.62,45.13,50.53,1.96,2.12,-0.1,-4.48,-4.9,-5.4,-0.15,7.24,93.53
"Predators","NSH","14-15",82,3950.2,56.81,53.15,53.09,52.96,54.38,2.51,1.91,31.25,27.55,43.23,38.19,58.77,52.2,2.27,1.9,0.6,3.7,5.04,6.56,0.37,8.02,93.08
"Islanders","NYI","14-15",82,4009.15,52.01,54.48,54.6,53.36,54.96,2.55,2.35,32.75,27.36,45.57,37.9,61.94,54.13,2.94,2.41,0.2,5.39,7.68,7.81,0.53,7.78,91.41
"Rangers","NYR","14-15",82,4009.6,56.81,51.35,50.24,50.5,51,2.69,2.05,30.84,29.21,41.59,41.19,55.65,54.54,2.51,2.41,0.65,1.62,0.4,1.11,0.1,8.74,92.99
"Senators","OTT","14-15",82,3865.83,51.06,48.22,48.77,50.39,51.31,2.33,2.23,29.28,31.44,40.17,42.2,55.68,54.81,2.3,2.19,0.1,-2.17,-2.03,0.87,0.12,7.95,92.9
"Flyers","PHI","14-15",82,3930.63,49.43,48.33,48.63,49,47.64,2.01,2.05,27.43,29.32,38.45,40.62,53.28,55.46,2.03,2.23,-0.05,-1.9,-2.17,-2.17,-0.2,7.31,93
"Penguins","PIT","14-15",82,3860.97,52.79,53.11,53.34,53.4,51.96,2.26,2.02,30.72,27.12,41.93,36.68,56.73,49.51,2.25,2.08,0.24,3.6,5.25,7.21,0.17,7.37,92.53
"Sharks","S.J","14-15",82,3999.52,47.15,50.7,51.21,51.49,51.28,2.08,2.33,29.6,28.78,42.62,40.6,59.5,56.05,2.4,2.28,-0.25,0.81,2.01,3.44,0.12,7.01,91.92
"Blues","STL","14-15",82,3938.02,54.87,53.48,53.52,52.35,54.13,2.46,2.02,30.27,26.33,42.29,36.72,55.6,50.6,2.34,1.98,0.44,3.94,5.57,5,0.36,8.12,92.32
"Lightning","T.B","14-15",82,3864.08,56.74,54.3,53.67,53.72,54.62,2.75,2.1,30.86,25.97,42.18,36.4,56.82,48.95,2.35,1.96,0.65,4.89,5.77,7.87,0.4,8.91,91.93
"Maple Leafs","TOR","14-15",82,3855.03,43.9,45.41,45.24,45.3,44.16,2.1,2.68,27.65,33.23,38.68,46.83,51.17,61.78,2.07,2.62,-0.58,-5.58,-8.15,-10.61,-0.55,7.58,91.94
"Canucks","VAN","14-15",82,3924.13,48.26,50.24,50.22,49.41,47.62,2.27,2.43,29.36,29.08,40.21,39.86,53.39,54.66,2.15,2.36,-0.16,0.28,0.35,-1.27,-0.21,7.73,91.64
"Jets","WPG","14-15",82,3806.88,53.95,52.62,52.87,53.54,52.59,2.26,1.93,29.39,26.46,41.24,36.77,56.74,49.23,2.45,2.21,0.33,2.92,4.47,7.51,0.24,7.7,92.7
"Capitals","WSH","14-15",82,3923.83,52.68,51.29,52.07,51.95,52.95,2.27,2.04,28.26,26.83,40.56,37.33,56.2,51.98,2.24,1.99,0.23,1.43,3.23,4.22,0.25,8.03,92.4
"Ducks","ANA","15-16",82,3881.92,49.34,53.11,53.63,53.02,53.11,1.97,2.02,29.81,26.33,42.79,37,56.97,50.49,2.34,2.06,-0.05,3.49,5.8,6.49,0.27,6.6,92.33
"Coyotes","ARI","15-16",82,3771.47,48.6,46.19,45.85,46.38,46.31,2.04,2.16,26.55,30.93,37.72,44.53,50.92,58.88,1.97,2.29,-0.12,-4.38,-6.82,-7.95,-0.31,7.7,93.01
"Bruins","BOS","15-16",82,3946.93,51.1,51.12,49.83,49.81,49.52,2.41,2.31,31.15,29.78,41.7,41.98,55.14,55.56,2.13,2.17,0.1,1.37,-0.28,-0.42,-0.04,7.74,92.26
"Sabres","BUF","15-16",82,3997.12,44.72,47.56,46.79,46.86,47.45,1.81,2.23,27.37,30.18,37.22,42.32,49.34,55.94,1.91,2.12,-0.43,-2.81,-5.1,-6.61,-0.21,6.6,92.59
"Hurricanes","CAR","15-16",82,4036.8,45.15,50.93,50.64,51.41,49.81,1.94,2.36,28.42,27.38,40.48,39.45,54.54,51.56,2.35,2.37,-0.42,1.04,1.03,2.98,-0.02,6.82,91.39
"Blue Jackets","CBJ","15-16",82,3915.45,47.86,48.47,48.15,47.54,51.19,2.25,2.45,28.43,30.22,38.83,41.81,51.94,57.33,2.53,2.41,-0.2,-1.79,-2.98,-5.39,0.12,7.91,91.9
"Flames","CGY","15-16",82,3956.27,47.21,49.39,48.29,47.87,48.64,2.28,2.55,27.98,28.68,38.28,40.99,52.73,57.43,2.2,2.32,-0.27,-0.7,-2.71,-4.69,-0.12,8.15,91.1
"Blackhawks","CHI","15-16",82,3985.23,49.1,50.67,50.57,51.19,48.83,2.02,2.1,30.1,29.31,40.5,39.58,55.99,53.39,2.2,2.3,-0.07,0.79,0.92,2.6,-0.11,6.72,92.85
"Avalanche","COL","15-16",82,3890.58,47.67,45.97,45.12,44.05,44,2.13,2.34,27.25,32.03,37.02,45.02,49.05,62.29,1.92,2.45,-0.21,-4.78,-8,-13.24,-0.52,7.81,92.71
"Stars","DAL","15-16",82,3938.05,51.49,52.75,52.55,52.67,52.31,2.48,2.33,31.32,28.05,45.11,40.73,61.52,55.29,2.63,2.39,0.14,3.27,4.38,6.23,0.23,7.91,91.68
"Red Wings","DET","15-16",82,3863,48.29,49.65,50.23,51.75,49.75,2,2.14,28.73,29.13,39.87,39.5,52.88,49.3,2.26,2.28,-0.14,-0.4,0.37,3.58,-0.02,6.97,92.64
"Oilers","EDM","15-16",82,3946.25,44.02,48.01,47.75,48.12,48.61,2.01,2.56,28.08,30.41,38.76,42.41,53.38,57.56,2.32,2.45,-0.55,-2.33,-3.65,-4.18,-0.13,7.16,91.59
"Panthers","FLA","15-16",82,3866.68,56.41,49.82,49.5,49.43,49.77,2.48,1.92,28.12,28.33,38.34,39.11,48.85,49.97,2.09,2.11,0.56,-0.21,-0.77,-1.12,-0.02,8.82,93.23
"Kings","L.A","15-16",82,3935.3,54.18,55.23,56.66,56.98,54.4,2.15,1.82,31.8,25.77,46.93,35.89,62.95,47.51,2.46,2.06,0.33,6.03,11.04,15.43,0.4,6.77,92.94
"Wild","MIN","15-16",82,3972.27,51.97,49.56,48.62,47.86,50.71,2.09,1.93,27.23,27.71,37.87,40.03,50.3,54.8,2.05,1.99,0.16,-0.48,-2.15,-4.5,0.06,7.66,93.04
"Canadiens","MTL","15-16",82,3915.87,49.27,51.27,51.24,51.34,50.87,2.24,2.31,30.27,28.77,41.18,39.18,56.58,53.63,2.27,2.19,-0.07,1.5,2,2.95,0.08,7.4,91.98
"Devils","N.J","15-16",82,3873.75,45.25,46.06,46.73,45.93,47.63,1.69,2.04,23.22,27.19,32.3,36.83,41.98,49.42,1.89,2.07,-0.35,-3.97,-4.53,-7.44,-0.19,7.27,92.49
"Predators","NSH","15-16",82,3923.87,50.79,52.87,53.77,52.74,53.25,2.14,2.07,29.7,26.47,41.76,35.91,56.15,50.32,2.16,1.9,0.07,3.23,5.85,5.84,0.26,7.2,92.17
"Islanders","NYI","15-16",82,4014.32,51.55,49.29,49.99,49.68,49.03,2.3,2.16,28.46,29.28,40.15,40.16,55.12,55.82,2.36,2.45,0.14,-0.81,-0.01,-0.7,-0.09,8.08,92.62
"Rangers","NYR","15-16",82,4001.13,55.72,48.47,48.47,48.04,47.59,2.43,1.93,27.37,29.11,38.66,41.1,52.03,56.28,2.29,2.52,0.5,-1.73,-2.45,-4.25,-0.23,8.87,93.37
"Senators","OTT","15-16",82,3958.17,50.42,45.85,46.27,46.88,47.42,2.25,2.21,27.07,31.97,37.69,43.77,51.71,58.6,2.13,2.36,0.04,-4.91,-6.08,-6.88,-0.23,8.3,93.09
"Flyers","PHI","15-16",82,3850.5,50.71,48.89,50.03,50.15,48.57,2.04,1.98,29.08,30.39,40.78,40.72,56.99,56.65,2.2,2.33,0.06,-1.32,0.06,0.34,-0.13,7.02,93.48
"Penguins","PIT","15-16",82,3905.73,55.4,53.29,53.07,52.94,55.79,2.44,1.97,32.47,28.47,43.6,38.56,58.24,51.77,2.55,2.02,0.48,4.01,5.04,6.47,0.53,7.53,93.09
"Sharks","S.J","15-16",82,3954.48,52.73,52.99,53.27,51.94,55.49,2.24,2,29.08,25.8,41.04,35.99,55.73,51.57,2.41,1.93,0.23,3.28,5.05,4.17,0.48,7.69,92.23
"Blues","STL","15-16",82,3906.62,53.22,52.57,52.59,52.36,52.14,2.15,1.89,30.62,27.63,41.86,37.74,56.11,51.04,2.31,2.12,0.26,2.99,4.12,5.07,0.19,7.03,93.15
"Lightning","T.B","15-16",82,3824.53,54.29,51.58,51.86,52.6,51.52,2.33,1.96,29.43,27.62,41.59,38.62,56.16,50.61,2.07,1.95,0.37,1.81,2.98,5.55,0.12,7.9,92.91
"Maple Leafs","TOR","15-16",82,3866.85,42.61,48.03,48.96,50.32,49.75,1.85,2.49,28.81,31.18,42.15,43.95,57.32,56.59,2.25,2.28,-0.64,-2.37,-1.8,0.73,-0.02,6.42,92.01
"Canucks","VAN","15-16",82,3945.62,44.6,46.54,46.28,46.87,44.03,1.88,2.33,27.32,31.38,37.11,43.08,49.51,56.12,2,2.54,-0.45,-4.07,-5.96,-6.6,-0.54,6.86,92.58
"Jets","WPG","15-16",82,3864.42,50.24,51,51.03,51.04,50.13,2.23,2.21,29.33,28.18,40.59,38.96,54.78,52.55,2.34,2.33,0.02,1.15,1.63,2.23,0.01,7.61,92.15
"Capitals","WSH","15-16",82,3939.2,55.89,52.6,51.85,51.52,52.17,2.47,1.95,30.19,27.2,41.8,38.82,56.78,53.44,2.31,2.12,0.52,2.99,2.98,3.35,0.19,8.19,92.83
"Ducks","ANA","16-17",82,3869.67,53.14,50.98,50.48,50.18,52.21,2.24,1.98,29.14,28.02,41.18,40.4,54.66,54.27,2.44,2.23,0.26,1.12,0.79,0.39,0.21,7.69,92.94
"Coyotes","ARI","16-17",82,3983.93,44.07,44.31,43.68,44.18,41.66,1.98,2.51,26.91,33.82,37.95,48.93,50.43,63.71,1.96,2.75,-0.53,-6.92,-10.98,-13.28,-0.79,7.36,92.57
"Bruins","BOS","16-17",82,3900.22,49.18,55.67,55.77,55.22,54.61,2.19,2.26,32.61,25.97,45.79,36.31,60.81,49.31,2.39,1.98,-0.07,6.65,9.48,11.5,0.4,6.71,91.29
"Sabres","BUF","16-17",82,4030.58,44.82,47,47.06,46.96,47.71,1.88,2.31,29.03,32.74,39.59,44.53,51.61,58.29,2.07,2.27,-0.43,-3.71,-4.94,-6.69,-0.2,6.47,92.94
"Hurricanes","CAR","16-17",82,4072.67,46.03,50.29,50.33,51.19,50.81,2.13,2.49,29.03,28.7,41.18,40.63,56.3,53.69,2.5,2.42,-0.37,0.34,0.54,2.61,0.08,7.32,91.32
"Blue Jackets","CBJ","16-17",82,3992.88,56.02,51.73,51.05,51.01,50.52,2.52,1.98,31.26,29.17,42.19,40.46,56.65,54.4,2.47,2.42,0.54,2.09,1.73,2.25,0.05,8.05,93.23
"Flames","CGY","16-17",82,3887.82,49.26,50.56,50.11,50.54,48.86,2.15,2.21,28.49,27.86,39.36,39.19,53.81,52.65,2.17,2.27,-0.06,0.63,0.17,1.16,-0.1,7.55,92.05
"Blackhawks","CHI","16-17",82,4065.4,55,49.97,50.3,50.88,49.69,2.43,1.99,29.84,29.88,40.13,39.64,56.03,54.1,2.33,2.36,0.44,-0.04,0.48,1.93,-0.03,8.15,93.34
"Avalanche","COL","16-17",82,3939.28,36.52,45.11,46.05,46.69,44.43,1.71,2.97,26.78,32.59,37.43,43.85,50.54,57.71,1.86,2.32,-1.26,-5.8,-6.41,-7.17,-0.47,6.38,90.89
"Stars","DAL","16-17",82,3977.2,48.72,50.49,50.24,49.62,49.14,2.21,2.33,29.48,28.9,42,41.6,57.44,58.32,2.44,2.52,-0.12,0.58,0.41,-0.88,-0.09,7.51,91.94
"Red Wings","DET","16-17",82,3974.98,47.04,47.87,47.82,47.67,47.79,2.16,2.44,27.32,29.75,38.01,41.47,49.5,54.34,2.13,2.33,-0.27,-2.43,-3.46,-4.84,-0.2,7.92,91.81
"Oilers","EDM","16-17",82,4011.8,54.4,51.37,51.31,50.37,50.76,2.47,2.07,30.15,28.54,41.2,39.09,55.08,54.27,2.51,2.44,0.4,1.61,2.11,0.81,0.07,8.2,92.74
"Panthers","FLA","16-17",82,3898.92,44.76,49.09,49.95,50.27,47.78,2,2.46,30.37,31.5,41.63,41.71,53.87,53.29,2.15,2.35,-0.47,-1.13,-0.08,0.58,-0.2,6.57,92.18
"Kings","L.A","16-17",82,3974.82,48.47,54.23,54.35,54.26,53.44,1.9,2.02,30.28,25.55,43.65,36.67,59.07,49.78,2.41,2.1,-0.12,4.73,6.98,9.28,0.31,6.28,92.08
"Wild","MIN","16-17",82,4055.95,55.99,51.39,50.77,50.29,56.29,2.77,2.17,30.55,28.89,41.59,40.33,54.91,54.29,2.4,1.86,0.59,1.65,1.26,0.62,0.54,9.06,92.48
"Canadiens","MTL","16-17",82,4023.28,54.51,51.79,52.59,52.67,52.79,2.29,1.91,30.62,28.5,42.63,38.43,59.11,53.13,2.39,2.14,0.38,2.12,4.2,5.99,0.25,7.49,93.28
"Devils","N.J","16-17",82,3931.52,43.41,46.87,47.28,47.1,47.61,1.73,2.26,26.96,30.56,37.25,41.54,48.19,54.13,2.07,2.28,-0.53,-3.61,-4.29,-5.94,-0.21,6.43,92.61
"Predators","NSH","16-17",82,3952.57,53.09,51.4,51.04,51.47,52,2.41,2.13,30.9,29.21,42.73,40.99,57.75,54.46,2.29,2.11,0.28,1.69,1.74,3.3,0.18,7.79,92.72
"Islanders","NYI","16-17",82,4035.53,50.83,49.27,48.27,48.03,48.57,2.61,2.52,29.82,30.7,40.53,43.44,55.14,59.65,2.46,2.6,0.09,-0.88,-2.91,-4.51,-0.14,8.75,91.78
"Rangers","NYR","16-17",82,4010.72,51.86,48.74,48.88,48.04,49.09,2.49,2.31,28.32,29.79,39.89,41.73,52.65,56.94,2.39,2.48,0.18,-1.47,-1.84,-4.29,-0.09,8.79,92.24
"Senators","OTT","16-17",82,3920.57,48.83,50.02,48.71,48.44,49.15,2.06,2.16,29.35,29.33,39.88,42,54.73,58.26,2.19,2.27,-0.1,0.02,-2.12,-3.54,-0.08,7.03,92.63
"Flyers","PHI","16-17",82,3910.47,45.02,50.69,51.04,50.74,48.94,1.93,2.35,29.14,28.34,40.9,39.23,57.1,55.44,2.19,2.28,-0.43,0.8,1.67,1.67,-0.09,6.61,91.7
"Penguins","PIT","16-17",82,3953.07,55.23,51.75,51.68,50.67,52.78,2.82,2.28,33.15,30.91,44.12,41.25,58.62,57.08,2.78,2.49,0.53,2.24,2.87,1.55,0.29,8.5,92.61
"Sharks","S.J","16-17",82,4013.45,53.19,52.49,52.71,51.92,52.33,2.27,2,29.25,26.47,42.49,38.12,58.8,54.45,2.43,2.22,0.27,2.78,4.37,4.35,0.22,7.76,92.45
"Blues","STL","16-17",82,3942.2,52.7,50.76,50.78,50.59,51.17,2.33,2.09,28.1,27.26,38.9,37.7,52.3,51.09,2.11,2.02,0.24,0.84,1.2,1.22,0.1,8.29,92.33
"Lightning","T.B","16-17",82,3906.65,49.09,49.63,50.33,50.92,50.98,2.15,2.23,29.02,29.46,41.17,40.63,54.88,52.89,2.22,2.14,-0.08,-0.44,0.53,1.99,0.09,7.42,92.42
"Maple Leafs","TOR","16-17",82,3967.38,51.47,49.69,50.2,50.95,51.17,2.56,2.42,30.92,31.31,44.77,44.41,60.09,57.84,2.68,2.56,0.15,-0.39,0.35,2.25,0.12,8.29,92.28
"Canucks","VAN","16-17",82,4046.7,44.48,45.83,45.98,46.91,45.25,1.88,2.35,26.58,31.41,36.27,42.61,49.29,55.8,2.02,2.44,-0.47,-4.83,-6.34,-6.5,-0.42,7.09,92.51
"Jets","WPG","16-17",82,3893.98,48.64,48.48,49.05,48.86,50.71,2.41,2.54,28.43,30.21,39.09,40.61,52.05,54.47,2.34,2.27,-0.13,-1.78,-1.52,-2.42,0.07,8.46,91.59
"Capitals","WSH","16-17",82,3907.73,61.96,53.26,52.66,53.21,51.46,2.76,1.69,30.5,26.77,42.35,38.08,57.7,50.74,2.35,2.22,1.06,3.73,4.27,6.96,0.13,9.04,93.68
"Ducks","ANA","17-18",82,3939.42,53.26,49.27,49.06,49.22,49.07,2.38,2.09,29.85,30.73,42.36,43.98,56.5,58.29,2.45,2.55,0.29,-0.88,-1.62,-1.79,-0.09,7.98,93.2
"Coyotes","ARI","17-18",82,4026.92,46.15,47.28,46.53,47.65,46.34,2.08,2.43,28.26,31.51,40.29,46.3,55.78,61.29,2.15,2.48,-0.35,-3.25,-6.01,-5.51,-0.34,7.37,92.29
"Bruins","BOS","17-18",82,3950.15,54.58,54.15,54.13,54.15,54.43,2.52,2.1,32.11,27.19,45.04,38.17,59.93,50.75,2.47,2.07,0.42,4.92,6.88,9.18,0.4,7.85,92.28
"Sabres","BUF","17-18",82,3949.9,40.14,46.96,46.42,46.29,45.39,1.8,2.68,28.82,32.55,38.6,44.54,49.93,57.93,1.93,2.32,-0.88,-3.73,-5.95,-8,-0.39,6.24,91.76
"Hurricanes","CAR","17-18",82,4086,46.88,52.86,53.07,54.34,52.05,2.29,2.6,32.34,28.84,45.58,40.31,62.42,52.44,2.52,2.32,-0.31,3.5,5.27,9.98,0.2,7.08,91
"Blue Jackets","CBJ","17-18",82,4063.42,53.53,52.46,52.71,51.69,51.85,2.51,2.18,33.47,30.33,45.85,41.13,59.89,55.97,2.65,2.46,0.33,3.13,4.72,3.92,0.19,7.51,92.81
"Flames","CGY","17-18",82,3894.92,47.97,52.38,53.06,53.18,52.32,2.25,2.44,32.98,29.99,47.96,42.43,64.01,56.35,2.61,2.38,-0.19,2.99,5.53,7.66,0.23,6.81,91.87
"Blackhawks","CHI","17-18",82,3940.2,47.42,50.75,50.74,52.03,49.23,2.37,2.63,33.41,32.43,44.67,43.37,63.57,58.62,2.54,2.62,-0.26,0.99,1.31,4.96,-0.08,7.11,91.88
"Avalanche","COL","17-18",82,3826.73,51.98,47.49,47.3,47.9,46.75,2.36,2.18,28.97,32.03,39.87,44.43,55.07,59.89,2.04,2.32,0.18,-3.06,-4.56,-4.82,-0.28,8.14,93.2
"Stars","DAL","17-18",82,3919.53,52.53,50.98,51.09,50.97,53.47,2.27,2.05,29.42,28.28,40.94,39.2,56.91,54.74,2.39,2.08,0.22,1.14,1.74,2.17,0.31,7.72,92.75
"Red Wings","DET","17-18",82,3995.28,47.09,48.5,49.17,48.55,48.53,2.21,2.49,29.38,31.19,41.15,42.54,53.48,56.68,2.28,2.42,-0.27,-1.82,-1.39,-3.2,-0.14,7.54,92.03
"Oilers","EDM","17-18",82,4058,48.22,49.83,50.46,49.81,50.67,2.42,2.6,31.93,32.15,44.43,43.61,59.04,59.5,2.68,2.6,-0.18,-0.22,0.82,-0.46,0.07,7.58,91.91
"Panthers","FLA","17-18",82,3966.8,49.57,49.82,50.16,49.39,48.53,2.49,2.54,32.9,33.14,44.91,44.63,57.65,59.07,2.37,2.51,-0.04,-0.24,0.28,-1.42,-0.14,7.58,92.35
"Kings","L.A","17-18",82,3951.62,53.13,49.74,49.41,49.73,47.68,2.32,2.04,29.38,29.69,41.34,42.33,55.79,56.4,2.2,2.42,0.27,-0.31,-0.99,-0.61,-0.21,7.89,93.11
"Wild","MIN","17-18",82,3953.95,52.94,50.19,48.68,47.84,53.44,2.43,2.16,29.94,29.72,39.88,42.05,52.77,57.54,2.26,1.97,0.27,0.22,-2.17,-4.77,0.29,8.12,92.73
"Canadiens","MTL","17-18",82,3974.63,44.92,49.88,49.66,49.7,50.88,1.96,2.4,30.91,31.06,42.1,42.68,58.62,59.34,2.45,2.37,-0.44,-0.14,-0.58,-0.72,0.08,6.33,92.28
"Devils","N.J","17-18",82,3936.12,49.11,49.97,49.08,48.64,50.29,2.44,2.53,30.76,30.79,42.24,43.84,54.7,57.77,2.42,2.39,-0.09,-0.03,-1.59,-3.07,0.03,7.94,91.78
"Predators","NSH","17-18",82,3851.03,56.88,51.6,52.48,52.67,51.49,2.62,1.98,32.32,30.32,45.25,40.97,61.35,55.12,2.46,2.32,0.63,2.01,4.28,6.23,0.14,8.09,93.46
"Islanders","NYI","17-18",82,4011.9,48.21,46.48,46.49,47.07,46.84,2.65,2.84,29.84,34.35,40.69,46.84,55.57,62.5,2.39,2.71,-0.2,-4.51,-6.15,-6.93,-0.32,8.87,91.72
"Rangers","NYR","17-18",82,3991.18,45,45.29,45.24,44.94,46.76,2.24,2.74,29.4,35.52,39.75,48.12,52.09,63.83,2.49,2.84,-0.5,-6.12,-8.37,-11.73,-0.35,7.62,92.29
"Senators","OTT","17-18",82,3983.95,42.91,46.87,46.84,46.22,45.7,2.26,3.01,29.14,33.02,40.32,45.76,54.34,63.24,2.14,2.54,-0.75,-3.89,-5.44,-8.89,-0.4,7.76,90.89
"Flyers","PHI","17-18",82,3993.68,52.01,51.22,50.22,49.81,50.38,2.36,2.18,30.2,28.76,41.19,40.83,55.05,55.47,2.31,2.27,0.18,1.44,0.36,-0.41,0.04,7.83,92.41
"Penguins","PIT","17-18",82,3935.23,47.82,53.22,53.07,52.26,52.51,2.45,2.67,34.01,29.89,46.02,40.68,60.53,55.29,2.68,2.42,-0.22,4.12,5.33,5.24,0.26,7.2,91.06
"Sharks","S.J","17-18",82,4012.37,48.81,51.74,51.96,51.21,51.4,2.35,2.47,31.38,29.27,44.57,41.21,61.26,58.37,2.52,2.38,-0.11,2.11,3.36,2.89,0.14,7.5,91.57
"Blues","STL","17-18",82,3988.98,52.42,52.21,52.83,51.86,51.89,2.27,2.06,31.58,28.91,43.69,39,58.92,54.69,2.27,2.11,0.21,2.67,4.69,4.24,0.17,7.19,92.87
"Lightning","T.B","17-18",82,3901.28,57.4,50.99,52.19,52.49,53.48,3.03,2.25,32.66,31.39,45.61,41.78,60.73,54.97,2.51,2.18,0.78,1.27,3.83,5.77,0.33,9.27,92.84
"Maple Leafs","TOR","17-18",82,4047.92,54.46,49,49.23,50.56,50.97,2.79,2.33,31.17,32.44,43.86,45.25,59.68,58.35,2.62,2.52,0.46,-1.28,-1.38,1.33,0.1,8.94,92.82
"Canucks","VAN","17-18",82,3970.45,45.47,47.33,47.07,46.95,46.14,2.07,2.49,28.73,31.97,39.39,44.29,51.95,58.71,2.13,2.48,-0.41,-3.24,-4.9,-6.76,-0.36,7.22,92.22
"Golden Knights","VGK","17-18",82,3999.17,52.77,51.6,51.34,51.57,50.67,2.6,2.33,31.55,29.59,43.82,41.53,59.13,55.52,2.38,2.31,0.27,1.95,2.29,3.61,0.06,8.24,92.14
"Jets","WPG","17-18",82,3900.87,54.8,52.24,52.65,52.61,53.56,2.68,2.21,31.95,29.22,44.64,40.15,60.06,54.09,2.48,2.15,0.47,2.74,4.49,5.97,0.33,8.38,92.44
"Capitals","WSH","17-18",82,3952.37,52.74,47.94,47.67,48.31,47.53,2.56,2.3,28.14,30.56,40.44,44.4,55.05,58.91,2.35,2.59,0.27,-2.42,-3.96,-3.86,-0.24,9.11,92.48
"Ducks","ANA","18-19",82,3975.22,46.91,46.7,46.68,46.91,45.09,2.04,2.31,27.58,31.48,39.85,45.52,53.47,60.53,2.22,2.7,-0.27,-3.9,-5.68,-7.05,-0.48,7.4,92.66
"Coyotes","ARI","18-19",82,3961.85,45.65,49.81,49.42,48.92,49.98,1.99,2.37,30.03,30.26,41.85,42.84,56.52,59.02,2.34,2.34,-0.38,-0.23,-0.99,-2.49,0,6.62,92.18
"Bruins","BOS","18-19",82,3993.68,55.48,54.03,54.16,53.73,53.37,2.34,1.88,32.21,27.4,44.77,37.89,58.85,50.68,2.41,2.11,0.46,4.8,6.88,8.17,0.3,7.28,93.14
"Sabres","BUF","18-19",82,4031.53,45.25,48.9,49.33,49.4,47.55,2.27,2.74,31.42,32.83,42.95,44.11,55.31,56.65,2.2,2.43,-0.48,-1.41,-1.16,-1.34,-0.23,7.21,91.65
"Hurricanes","CAR","18-19",82,3967.82,51.82,54.87,55.12,55.21,55.64,2.41,2.24,33.9,27.88,48.81,39.75,64.96,52.71,3.01,2.4,0.17,6.02,9.06,12.26,0.61,7.11,91.97
"Blue Jackets","CBJ","18-19",82,4081.97,52.21,51.57,51.42,50.57,51.45,2.74,2.51,31.4,29.48,43.07,40.69,55.52,54.26,2.53,2.38,0.23,1.92,2.38,1.26,0.14,8.72,91.5
"Flames","CGY","18-19",82,3909.92,55.2,53.31,53.35,54.07,53.26,2.83,2.3,31.71,27.78,44.64,39.04,60.79,51.64,2.63,2.31,0.53,3.94,5.6,9.15,0.32,8.93,91.72
"Blackhawks","CHI","18-19",82,4032.9,49.85,48.23,48.21,49.1,45.7,2.71,2.73,31.61,33.93,41.54,44.62,56.81,58.89,2.33,2.77,-0.02,-2.32,-3.08,-2.07,-0.44,8.58,91.96
"Avalanche","COL","18-19",82,3849.8,50.31,50.98,50.41,49.94,49.85,2.41,2.38,31.9,30.67,42.49,41.8,57.47,57.61,2.32,2.33,0.03,1.23,0.68,-0.13,-0.01,7.56,92.23
"Stars","DAL","18-19",82,4025.42,50.55,48.94,48.29,48.16,50.35,2.02,1.97,29.35,30.62,39.45,42.25,53.86,57.97,2.35,2.32,0.04,-1.28,-2.8,-4.12,0.03,6.87,93.56
